index,question,answer
17,ฉันจะสามารถ ใช้ระยะเวลาในการโอนย้ายนานหรือไม่? ได้อย่างไร?,สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 1-24 หมายเลข ใช้เวลา 3 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 25-500 หมายเลข ใช้เวลา 20 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 501 หมายเลขขึ้นไป ใช้เวลา 20 วันทำการ
18,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ใช้ระยะเวลาในการโอนย้ายนานหรือไม่? หรือไม่?,สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 1-24 หมายเลข ใช้เวลา 3 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 25-500 หมายเลข ใช้เวลา 20 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 501 หมายเลขขึ้นไป ใช้เวลา 20 วันทำการ
19,ใช้ระยะเวลาในการโอนย้ายนานหรือไม่?,สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 1-24 หมายเลข ใช้เวลา 3 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 25-500 หมายเลข ใช้เวลา 20 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 501 หมายเลขขึ้นไป ใช้เวลา 20 วันทำการ
20,ช่วยบอกฉันเกี่ยวกับ ใช้ระยะเวลาในการโอนย้ายนานหรือไม่?,สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 1-24 หมายเลข ใช้เวลา 3 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 25-500 หมายเลข ใช้เวลา 20 วันทำการ สำหรับลูกค้าที่มี SIM (จำนวนหมายเลขโทรศัพท์) 501 หมายเลขขึ้นไป ใช้เวลา 20 วันทำการ
21,ถ้าเกิดปัญหาขณะรอการโอนย้ายจะทราบได้อย่างไร? ได้ที่ไหน?,ในขณะที่ดำเนินการจะมีการแจ้งเป็น SMS มาบอกสถานะว่าตอนนี้ ติดปัญหาหรือ เสร็จสิ้นแล้ว โดยหากเกิดปัญหาสามารถแจ้งได้ที่สถานบริการลูกค้าที่ติดต่อขอใช้บริการ เพื่อที่พนักงานจะดำเนินการแก้ไขต่อไป
22,ช่วยบอกฉันเกี่ยวกับ ถ้าเกิดปัญหาขณะรอการโอนย้ายจะทราบได้อย่างไร?,ในขณะที่ดำเนินการจะมีการแจ้งเป็น SMS มาบอกสถานะว่าตอนนี้ ติดปัญหาหรือ เสร็จสิ้นแล้ว โดยหากเกิดปัญหาสามารถแจ้งได้ที่สถานบริการลูกค้าที่ติดต่อขอใช้บริการ เพื่อที่พนักงานจะดำเนินการแก้ไขต่อไป
23,ถ้าเกิดปัญหาขณะรอการโอนย้ายจะทราบได้อย่างไร?,ในขณะที่ดำเนินการจะมีการแจ้งเป็น SMS มาบอกสถานะว่าตอนนี้ ติดปัญหาหรือ เสร็จสิ้นแล้ว โดยหากเกิดปัญหาสามารถแจ้งได้ที่สถานบริการลูกค้าที่ติดต่อขอใช้บริการ เพื่อที่พนักงานจะดำเนินการแก้ไขต่อไป
24,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ถ้าเกิดปัญหาขณะรอการโอนย้ายจะทราบได้อย่างไร? หรือไม่?,ในขณะที่ดำเนินการจะมีการแจ้งเป็น SMS มาบอกสถานะว่าตอนนี้ ติดปัญหาหรือ เสร็จสิ้นแล้ว โดยหากเกิดปัญหาสามารถแจ้งได้ที่สถานบริการลูกค้าที่ติดต่อขอใช้บริการ เพื่อที่พนักงานจะดำเนินการแก้ไขต่อไป
25,ฉันจะสามารถ ถ้าเกิดปัญหาขณะรอการโอนย้ายจะทราบได้อย่างไร? ได้อย่างไร?,ในขณะที่ดำเนินการจะมีการแจ้งเป็น SMS มาบอกสถานะว่าตอนนี้ ติดปัญหาหรือ เสร็จสิ้นแล้ว โดยหากเกิดปัญหาสามารถแจ้งได้ที่สถานบริการลูกค้าที่ติดต่อขอใช้บริการ เพื่อที่พนักงานจะดำเนินการแก้ไขต่อไป
26,จะใช้ Mobile Number Portability ต้องทำอย่างไร?,หากต้องการใช้บริการ MNP สามารถติดต่อได้ที่ศูนย์ให้บริการของเครือข่ายที่ต้องการเปลี่ยน ซึ่งหาได้จากตามห้างสรรพสินค้าหรือจุดให้บริการต่างๆ ของผู้ให้บริการนั้นๆ โดยให้เตรียมสำเนาบัตรประชาชนไปด้วยทุกครั้งที่จะใช้บริการ MNP โดยต้องมาติดต่อขอใช้บริการก่อน 15.30 น. ของทุกวันทำการ
27,ฉันจะสามารถ จะใช้ MNP ต้องทำอย่างไร? ได้อย่างไร?,หากต้องการใช้บริการ MNP สามารถติดต่อได้ที่ศูนย์ให้บริการของเครือข่ายที่ต้องการเปลี่ยน ซึ่งหาได้จากตามห้างสรรพสินค้าหรือจุดให้บริการต่างๆ ของผู้ให้บริการนั้นๆ โดยให้เตรียมสำเนาบัตรประชาชนไปด้วยทุกครั้งที่จะใช้บริการ MNP โดยต้องมาติดต่อขอใช้บริการก่อน 15.30 น. ของทุกวันทำการ
28,จะใช้ การบริการคงสิทธิใช้เลขหมายเดิมแต่สามารถเปลี่ยนผู้ให้บริการสถานที่ ต้องทำอย่างไร?,หากต้องการใช้บริการ MNP สามารถติดต่อได้ที่ศูนย์ให้บริการของเครือข่ายที่ต้องการเปลี่ยน ซึ่งหาได้จากตามห้างสรรพสินค้าหรือจุดให้บริการต่างๆ ของผู้ให้บริการนั้นๆ โดยให้เตรียมสำเนาบัตรประชาชนไปด้วยทุกครั้งที่จะใช้บริการ MNP โดยต้องมาติดต่อขอใช้บริการก่อน 15.30 น. ของทุกวันทำการ
29,มีรายละเอียดเพิ่มเติมเกี่ยวกับ จะใช้ MNP ต้องทำอย่างไร? หรือไม่?,หากต้องการใช้บริการ MNP สามารถติดต่อได้ที่ศูนย์ให้บริการของเครือข่ายที่ต้องการเปลี่ยน ซึ่งหาได้จากตามห้างสรรพสินค้าหรือจุดให้บริการต่างๆ ของผู้ให้บริการนั้นๆ โดยให้เตรียมสำเนาบัตรประชาชนไปด้วยทุกครั้งที่จะใช้บริการ MNP โดยต้องมาติดต่อขอใช้บริการก่อน 15.30 น. ของทุกวันทำการ
30,จะใช้ MNP ต้องทำอย่างไร?,หากต้องการใช้บริการ MNP สามารถติดต่อได้ที่ศูนย์ให้บริการของเครือข่ายที่ต้องการเปลี่ยน ซึ่งหาได้จากตามห้างสรรพสินค้าหรือจุดให้บริการต่างๆ ของผู้ให้บริการนั้นๆ โดยให้เตรียมสำเนาบัตรประชาชนไปด้วยทุกครั้งที่จะใช้บริการ MNP โดยต้องมาติดต่อขอใช้บริการก่อน 15.30 น. ของทุกวันทำการ
31,ช่วยบอกฉันเกี่ยวกับ ช่องทางการเติมเงินของ My By NT ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, แอป Shopping ของ Lazada, Shopee, แอป my eService, ศูนย์บริการ NT ทุกสาขา, 7-11, Lotus"
32,ช่องทางการเติมเงินของ My By โทรคมนาคมแห่งชาติ ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, แอป Shopping ของ Lazada, Shopee, แอป my eService, ศูนย์บริการ NT ทุกสาขา, 7-11, Lotus"
33,ฉันจะสามารถ ช่องทางการเติมเงินของ My By NT ผ่านช่องทางไหนได้บ้าง ได้อย่างไร?,"แอปธนาคาร, แอป Shopping ของ Lazada, Shopee, แอป my eService, ศูนย์บริการ NT ทุกสาขา, 7-11, Lotus"
34,ช่องทางการเติมเงินของ My By NT ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, แอป Shopping ของ Lazada, Shopee, แอป my eService, ศูนย์บริการ NT ทุกสาขา, 7-11, Lotus"
35,ช่องทางการเติมเงินของ My By NT ผ่านช่องทางไหนได้บ้าง ได้ที่ไหน?,"แอปธนาคาร, แอป Shopping ของ Lazada, Shopee, แอป my eService, ศูนย์บริการ NT ทุกสาขา, 7-11, Lotus"
36,ฉันจะสามารถ ช่องทางการเติมเงินของ NT Mobile ผ่านช่องทางไหนได้บ้าง ได้อย่างไร?,"แอปธนาคาร, ศูนย์บริการ NT ทุกสาขา, 7-11"
37,ช่องทางการเติมเงินของ National Telecom Mobile ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, ศูนย์บริการ NT ทุกสาขา, 7-11"
38,ช่วยบอกฉันเกี่ยวกับ ช่องทางการเติมเงินของ NT Mobile ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, ศูนย์บริการ NT ทุกสาขา, 7-11"
39,ช่องทางการเติมเงินของ NT Mobile ผ่านช่องทางไหนได้บ้าง ได้ที่ไหน?,"แอปธนาคาร, ศูนย์บริการ NT ทุกสาขา, 7-11"
40,ช่องทางการเติมเงินของ โทรคมนาคมแห่งชาติ Mobile ผ่านช่องทางไหนได้บ้าง,"แอปธนาคาร, ศูนย์บริการ NT ทุกสาขา, 7-11"
41,ประสงค์เปิดเบอร์รายเดือนและเบอร์เติมเงิน ของ My By โทรคมนาคมแห่งชาติ ต้องทำยังไง,ใช้บัตรประชาชนตัวจริง ลงทะเบียนเปิดเบอร์รายเดือนและเบอร์เติมเงิน พร้อมเลือกโปรโมชันและเลขหมายได้ที่ NT ทุกสาขา
42,ประสงค์เปิดเบอร์รายเดือนและเบอร์เติมเงิน ของ My By NT ต้องทำยังไง ได้ที่ไหน?,ใช้บัตรประชาชนตัวจริง ลงทะเบียนเปิดเบอร์รายเดือนและเบอร์เติมเงิน พร้อมเลือกโปรโมชันและเลขหมายได้ที่ NT ทุกสาขา
43,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ประสงค์เปิดเบอร์รายเดือนและเบอร์เติมเงิน ของ My By NT ต้องทำยังไง หรือไม่?,ใช้บัตรประชาชนตัวจริง ลงทะเบียนเปิดเบอร์รายเดือนและเบอร์เติมเงิน พร้อมเลือกโปรโมชันและเลขหมายได้ที่ NT ทุกสาขา
44,ประสงค์เปิดเบอร์รายเดือนและเบอร์เติมเงิน ของ My By NT ต้องทำยังไง,ใช้บัตรประชาชนตัวจริง ลงทะเบียนเปิดเบอร์รายเดือนและเบอร์เติมเงิน พร้อมเลือกโปรโมชันและเลขหมายได้ที่ NT ทุกสาขา
45,ฉันจะสามารถ ประสงค์เปิดเบอร์รายเดือนและเบอร์เติมเงิน ของ My By NT ต้องทำยังไง ได้อย่างไร?,ใช้บัตรประชาชนตัวจริง ลงทะเบียนเปิดเบอร์รายเดือนและเบอร์เติมเงิน พร้อมเลือกโปรโมชันและเลขหมายได้ที่ NT ทุกสาขา
46,ประสงค์เปลี่ยนโปรโมชันรายเดือนของ My By NT และ NT Mobile ทำยังไงได้บ้าง,สามารถแจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
47,ช่วยบอกฉันเกี่ยวกับ ประสงค์เปลี่ยนโปรโมชันรายเดือนของ My By NT และ NT Mobile ทำยังไงได้บ้าง,สามารถแจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
48,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ประสงค์เปลี่ยนโปรโมชันรายเดือนของ My By NT และ NT Mobile ทำยังไงได้บ้าง หรือไม่?,สามารถแจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
49,ประสงค์เปลี่ยนโปรโมชันรายเดือนของ My By โทรคมนาคมแห่งชาติ และ โทรคมนาคมแห่งชาติ Mobile ทำยังไงได้บ้าง,สามารถแจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
50,ประสงค์เปลี่ยนโปรโมชันรายเดือนของ My By National Telecom และ National Telecom Mobile ทำยังไงได้บ้าง,สามารถแจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
51,ช่วยบอกฉันเกี่ยวกับ ประสงค์สมัครโปรโมชันเสริมเบอร์เติมเงิน My By NT และ NT Mobile ทำยังไง,สามารถกดรหัส USSD สมัครโปรโมชันด้วยตนเอง หรือ แจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
52,ประสงค์สมัครโปรโมชันเสริมเบอร์เติมเงิน My By NT และ NT Mobile ทำยังไง,สามารถกดรหัส USSD สมัครโปรโมชันด้วยตนเอง หรือ แจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
53,ประสงค์สมัครโปรโมชันเสริมเบอร์เติมเงิน My By National Telecom และ National Telecom Mobile ทำยังไง,สามารถกดรหัส USSD สมัครโปรโมชันด้วยตนเอง หรือ แจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
54,ฉันจะสามารถ ประสงค์สมัครโปรโมชันเสริมเบอร์เติมเงิน My By NT และ NT Mobile ทำยังไง ได้อย่างไร?,สามารถกดรหัส USSD สมัครโปรโมชันด้วยตนเอง หรือ แจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
55,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ประสงค์สมัครโปรโมชันเสริมเบอร์เติมเงิน My By NT และ NT Mobile ทำยังไง หรือไม่?,สามารถกดรหัส USSD สมัครโปรโมชันด้วยตนเอง หรือ แจ้งผ่าน call center NT 1888 หรือ ติดต่อ NT Shop ได้ทุกสาขา
56,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ประสงค์ซื้อซิม Thunder Net พร้อมอุปกรณ์ Indoor ที่ไหนได้บ้าง หรือไม่?,ผ่านช่องทาง Online : NT Official หรือ NT Shop ได้ทุกสาขา
57,ประสงค์ซื้อซิม Thunder Net พร้อมอุปกรณ์ Indoor ที่ไหนได้บ้าง,ผ่านช่องทาง Online : NT Official หรือ NT Shop ได้ทุกสาขา
58,ฉันจะสามารถ ประสงค์ซื้อซิม Thunder Net พร้อมอุปกรณ์ Indoor ที่ไหนได้บ้าง ได้อย่างไร?,ผ่านช่องทาง Online : NT Official หรือ NT Shop ได้ทุกสาขา
59,ช่วยบอกฉันเกี่ยวกับ ประสงค์ซื้อซิม Thunder Net พร้อมอุปกรณ์ Indoor ที่ไหนได้บ้าง,ผ่านช่องทาง Online : NT Official หรือ NT Shop ได้ทุกสาขา
60,ประสงค์ซื้อซิม Thunder Net พร้อมอุปกรณ์ Indoor ที่ไหนได้บ้าง ได้ที่ไหน?,ผ่านช่องทาง Online : NT Official หรือ NT Shop ได้ทุกสาขา
61,ฉันจะสามารถ Sim Wireless Net โปร Thunder Net ใช้คลื่นความถี่อะไร ได้อย่างไร?,คลื่นความถี่ 2300 MHz เท่านั้น
62,Sim Wireless Net โปร Thunder Net ใช้คลื่นความถี่อะไร ได้ที่ไหน?,คลื่นความถี่ 2300 MHz เท่านั้น
63,Sim Wireless Net โปร Thunder Net ใช้คลื่นความถี่อะไร,คลื่นความถี่ 2300 MHz เท่านั้น
64,ช่วยบอกฉันเกี่ยวกับ Sim Wireless Net โปร Thunder Net ใช้คลื่นความถี่อะไร,คลื่นความถี่ 2300 MHz เท่านั้น
65,มีรายละเอียดเพิ่มเติมเกี่ยวกับ Sim Wireless Net โปร Thunder Net ใช้คลื่นความถี่อะไร หรือไม่?,คลื่นความถี่ 2300 MHz เท่านั้น
66,ช่วยบอกฉันเกี่ยวกับ Sim NT Mobile แบบรายเดือนและเติมเงินใช้คลื่นความถี่อะไร,NT Mobile ใช้งานบนคลื่น 2100 MHz และ 2300 MHz
67,Sim โทรคมนาคมแห่งชาติ Mobile แบบรายเดือนและเติมเงินใช้คลื่นความถี่อะไร,NT Mobile ใช้งานบนคลื่น 2100 MHz และ 2300 MHz
68,Sim NT Mobile แบบรายเดือนและเติมเงินใช้คลื่นความถี่อะไร,NT Mobile ใช้งานบนคลื่น 2100 MHz และ 2300 MHz
69,มีรายละเอียดเพิ่มเติมเกี่ยวกับ Sim NT Mobile แบบรายเดือนและเติมเงินใช้คลื่นความถี่อะไร หรือไม่?,NT Mobile ใช้งานบนคลื่น 2100 MHz และ 2300 MHz
70,Sim NT Mobile แบบรายเดือนและเติมเงินใช้คลื่นความถี่อะไร ได้ที่ไหน?,NT Mobile ใช้งานบนคลื่น 2100 MHz และ 2300 MHz
71,มีรายละเอียดเพิ่มเติมเกี่ยวกับ Sim My By NT ใช้งานคลื่นความถี่อะไร หรือไม่?,"My By NT ใช้งานบนคลื่น 3G (2100 MHz), 4G (LTE) 700 MHz, 900 MHz, 1800 MHz, 5G (NSA) 2600 MHz"
72,ฉันจะสามารถ Sim My By NT ใช้งานคลื่นความถี่อะไร ได้อย่างไร?,"My By NT ใช้งานบนคลื่น 3G (2100 MHz), 4G (LTE) 700 MHz, 900 MHz, 1800 MHz, 5G (NSA) 2600 MHz"
73,Sim My By NT ใช้งานคลื่นความถี่อะไร,"My By NT ใช้งานบนคลื่น 3G (2100 MHz), 4G (LTE) 700 MHz, 900 MHz, 1800 MHz, 5G (NSA) 2600 MHz"
74,Sim My By NT ใช้งานคลื่นความถี่อะไร ได้ที่ไหน?,"My By NT ใช้งานบนคลื่น 3G (2100 MHz), 4G (LTE) 700 MHz, 900 MHz, 1800 MHz, 5G (NSA) 2600 MHz"
75,Sim My By National Telecom ใช้งานคลื่นความถี่อะไร,"My By NT ใช้งานบนคลื่น 3G (2100 MHz), 4G (LTE) 700 MHz, 900 MHz, 1800 MHz, 5G (NSA) 2600 MHz"
76,ต้องการเปลี่ยนซิมใหม่เบอร์เดิม My By National Telecom และ National Telecom Mobile ติดต่อที่ไหน,ลูกค้าถือบัตรประชาชนตัวจริง ติดต่อศูนย์บริการ NT ได้ทุกสาขา
77,ช่วยบอกฉันเกี่ยวกับ ต้องการเปลี่ยนซิมใหม่เบอร์เดิม My By NT และ NT Mobile ติดต่อที่ไหน,ลูกค้าถือบัตรประชาชนตัวจริง ติดต่อศูนย์บริการ NT ได้ทุกสาขา
78,ฉันจะสามารถ ต้องการเปลี่ยนซิมใหม่เบอร์เดิม My By NT และ NT Mobile ติดต่อที่ไหน ได้อย่างไร?,ลูกค้าถือบัตรประชาชนตัวจริง ติดต่อศูนย์บริการ NT ได้ทุกสาขา
79,ต้องการเปลี่ยนซิมใหม่เบอร์เดิม My By NT และ NT Mobile ติดต่อที่ไหน,ลูกค้าถือบัตรประชาชนตัวจริง ติดต่อศูนย์บริการ NT ได้ทุกสาขา
80,ต้องการเปลี่ยนซิมใหม่เบอร์เดิม My By NT และ NT Mobile ติดต่อที่ไหน ได้ที่ไหน?,ลูกค้าถือบัตรประชาชนตัวจริง ติดต่อศูนย์บริการ NT ได้ทุกสาขา
81,My By NT และ NT Mobile เปลี่ยนเป็น E-Sim ได้หรือไม่,ยังไม่มีบริการ E-Sim
82,ช่วยบอกฉันเกี่ยวกับ My By NT และ NT Mobile เปลี่ยนเป็น E-Sim ได้หรือไม่,ยังไม่มีบริการ E-Sim
83,มีรายละเอียดเพิ่มเติมเกี่ยวกับ My By NT และ NT Mobile เปลี่ยนเป็น E-Sim ได้หรือไม่ หรือไม่?,ยังไม่มีบริการ E-Sim
84,My By National Telecom และ National Telecom Mobile เปลี่ยนเป็น E-Sim ได้หรือไม่,ยังไม่มีบริการ E-Sim
85,ฉันจะสามารถ My By NT และ NT Mobile เปลี่ยนเป็น E-Sim ได้หรือไม่ ได้อย่างไร?,ยังไม่มีบริการ E-Sim
86,มีรายละเอียดเพิ่มเติมเกี่ยวกับ กรณีซื้อซิมและลงทะเบียนไปแล้ว แต่ใช้งานไม่ได้ต้องทำอย่างไร หรือไม่?,เปิดข้อมูลมือถือหรือเซลลูล่า แล้วตรวจสอบการตั้งค่า APN ให้ตั้งค่า APN = internet และ ชื่อผู้ใช้ = internet (ภาษาอังกฤษใช้ตัวเล็กทั้งหมด)
87,ช่วยบอกฉันเกี่ยวกับ กรณีซื้อซิมและลงทะเบียนไปแล้ว แต่ใช้งานไม่ได้ต้องทำอย่างไร,เปิดข้อมูลมือถือหรือเซลลูล่า แล้วตรวจสอบการตั้งค่า APN ให้ตั้งค่า APN = internet และ ชื่อผู้ใช้ = internet (ภาษาอังกฤษใช้ตัวเล็กทั้งหมด)
88,กรณีซื้อซิมและลงทะเบียนไปแล้ว แต่ใช้งานไม่ได้ต้องทำอย่างไร,เปิดข้อมูลมือถือหรือเซลลูล่า แล้วตรวจสอบการตั้งค่า APN ให้ตั้งค่า APN = internet และ ชื่อผู้ใช้ = internet (ภาษาอังกฤษใช้ตัวเล็กทั้งหมด)
89,ฉันจะสามารถ กรณีซื้อซิมและลงทะเบียนไปแล้ว แต่ใช้งานไม่ได้ต้องทำอย่างไร ได้อย่างไร?,เปิดข้อมูลมือถือหรือเซลลูล่า แล้วตรวจสอบการตั้งค่า APN ให้ตั้งค่า APN = internet และ ชื่อผู้ใช้ = internet (ภาษาอังกฤษใช้ตัวเล็กทั้งหมด)
90,กรณีซื้อซิมและลงทะเบียนไปแล้ว แต่ใช้งานไม่ได้ต้องทำอย่างไร ได้ที่ไหน?,เปิดข้อมูลมือถือหรือเซลลูล่า แล้วตรวจสอบการตั้งค่า APN ให้ตั้งค่า APN = internet และ ชื่อผู้ใช้ = internet (ภาษาอังกฤษใช้ตัวเล็กทั้งหมด)
91,ฉันจะสามารถ ต้องการตรวจสอบข้อมูลการใช้งานการโทรหรือ Data ผ่านช่องทางไหนได้บ้าง ได้อย่างไร?,แอป my eService และ  NT Mobile
